experiment,model,metric,n,run1_mean,run1_std,run2_mean,run2_std,mean_delta,max_abs_seed_delta,changed_seeds,all_equal_at_1e_12
A_author_cleaned_code_grid,LightGBM,precision,10,0.9425516857846704,0.016963380087328984,0.9425516857846704,0.016963380087328984,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,recall,10,0.9350299441570789,0.03501800359158271,0.9350299441570789,0.03501800359158271,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,specificity,10,0.9450087261742798,0.016195031982794445,0.9450087261742798,0.016195031982794445,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,f1,10,0.938329713341542,0.017698607019887336,0.938329713341542,0.017698607019887336,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,mcc,10,0.8797250921233202,0.03412872488505571,0.8797250921233202,0.03412872488505571,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,roc_auc,10,0.9876107470117894,0.008289827321400808,0.9876107470117894,0.008289827321400808,0.0,0.0,0,True
A_author_cleaned_code_grid,LightGBM,pr_auc,10,0.987410400253116,0.008445051194527719,0.987410400253116,0.008445051194527719,0.0,0.0,0,True
A_author_cleaned_code_grid,RF,accuracy,10,0.9382352941176471,0.030847319063828003,0.9411764705882352,0.028583097523751475,0.002941176470588236,0.02941176470588225,7,False
A_author_cleaned_code_grid,RF,balanced_accuracy,10,0.9388185630700706,0.029978571123747553,0.9413666977639158,0.028286862451219145,0.0025481346938453385,0.030303030303030387,7,False
A_author_cleaned_code_grid,RF,precision,10,0.9649139619949507,0.018534986393428782,0.9543028128366003,0.028422748825139354,-0.010611149158350286,0.05166931637519867,7,False
A_author_cleaned_code_grid,RF,recall,10,0.9097560606479013,0.04905686992901541,0.9268766983567744,0.034054962399997495,0.01712063770887302,0.06060606060606066,7,False
A_author_cleaned_code_grid,RF,specificity,10,0.9678810654922397,0.016937643337928524,0.9558566971710574,0.030072847114781354,-0.012024368321182477,0.06451612903225823,3,False
A_author_cleaned_code_grid,RF,f1,10,0.9360326481500024,0.030892540856809075,0.9401516692745668,0.027254534085820573,0.0041190211245642925,0.033211233211233426,8,False
A_author_cleaned_code_grid,RF,mcc,10,0.8783796580580214,0.059755543108213016,0.8825939188200336,0.05695727714591382,0.004214260762012268,0.05621600673186811,8,False
A_author_cleaned_code_grid,RF,roc_auc,10,0.9850403812816104,0.009766291093438554,0.9853951512850412,0.011064021600420243,0.0003547700034305601,0.00519031141868509,9,False
A_author_cleaned_code_grid,RF,pr_auc,10,0.9866751462370169,0.008338191286513525,0.9868175164758908,0.009953301312540923,0.0001423702388738901,0.004551694788266225,10,False
