import time: self [us] | cumulative | imported package
import time:       127 |        127 |                 scipy.sparse._matrix
import time:       573 |       7798 |               scipy.sparse._base
import time:        55 |         55 |                     numpy._core
import time:       124 |        178 |                   numpy._core._multiarray_umath
import time:       578 |        756 |                 scipy.sparse._sparsetools
import time:       142 |        142 |                   scipy.sparse._data
import time:        83 |         83 |                   scipy.sparse._index
import time:       220 |        444 |                 scipy.sparse._compressed
import time:       155 |       1354 |               scipy.sparse._csr
import time:        90 |         90 |               scipy.sparse._csc
import time:       709 |        709 |                 scipy.sparse._csparsetools
import time:       169 |        877 |               scipy.sparse._lil
import time:       146 |        146 |               scipy.sparse._dok
import time:       151 |        151 |               scipy.sparse._coo
import time:       106 |        106 |               scipy.sparse._dia
import time:       150 |        150 |               scipy.sparse._bsr
import time:       383 |        383 |               scipy.sparse._construct
import time:       114 |        114 |               scipy.sparse._extract
import time:       132 |        132 |               scipy.sparse._matrix_io
import time:       336 |        336 |                         scipy.sparse.linalg._interface
import time:       112 |        112 |                         scipy.sparse.linalg._isolve.utils
import time:      1131 |       1131 |                               scipy.linalg._fblas
import time:        25 |         25 |                               scipy.linalg._cblas
import time:        19 |         19 |                               scipy.linalg._fblas_64
import time:       251 |       1426 |                             scipy.linalg.blas
import time:      1349 |       1349 |                               scipy.linalg._flapack
import time:        36 |         36 |                               scipy.linalg._clapack
import time:        11 |         11 |                               scipy.linalg._flapack_64
import time:       441 |       1834 |                             scipy.linalg.lapack
import time:       223 |       3482 |                           scipy.linalg._misc
import time:      2203 |       2203 |                             scipy.linalg.cython_lapack
import time:       710 |       2913 |                           scipy.linalg._cythonized_array_utils
import time:       235 |        235 |                             scipy.linalg._decomp
import time:       125 |        125 |                             scipy.linalg._decomp_svd
import time:       873 |        873 |                             scipy.linalg._solve_toeplitz
import time:       774 |       2006 |                           scipy.linalg._basic
import time:       668 |        668 |                             scipy.linalg._decomp_lu_cython
import time:       138 |        806 |                           scipy.linalg._decomp_lu
import time:        81 |         81 |                           scipy.linalg._decomp_ldl
import time:        63 |         63 |                           scipy.linalg._decomp_cholesky
import time:        68 |         68 |                           scipy.linalg._decomp_qr
import time:        66 |         66 |                           scipy.linalg._decomp_qz
import time:       109 |        109 |                           scipy.linalg._decomp_schur
import time:        50 |         50 |                           scipy.linalg._decomp_polar
import time:        67 |         67 |                             scipy.linalg._expm_frechet
import time:       581 |        581 |                               scipy.linalg._matfuncs_sqrtm_triu
import time:        82 |        662 |                             scipy.linalg._matfuncs_sqrtm
import time:      1033 |       1033 |                               scipy.linalg.cython_blas
import time:       641 |       1674 |                             scipy.linalg._matfuncs_expm
import time:       119 |       2521 |                           scipy.linalg._matfuncs
import time:        95 |         95 |                           scipy.linalg._special_matrices
import time:        87 |         87 |                           scipy.linalg._solvers
import time:        51 |         51 |                           scipy.linalg._procrustes
import time:       610 |        610 |                           scipy.linalg._decomp_update
import time:        52 |         52 |                           scipy.linalg._sketches
import time:        63 |         63 |                           scipy.linalg._decomp_cossin
import time:        79 |         79 |                             scipy._lib.deprecation
import time:        56 |        135 |                           scipy.linalg.decomp
import time:        42 |         42 |                           scipy.linalg.decomp_cholesky
import time:        40 |         40 |                           scipy.linalg.decomp_lu
import time:        39 |         39 |                           scipy.linalg.decomp_qr
import time:        40 |         40 |                           scipy.linalg.decomp_svd
import time:        39 |         39 |                           scipy.linalg.decomp_schur
import time:        41 |         41 |                           scipy.linalg.basic
import time:        41 |         41 |                           scipy.linalg.misc
import time:        39 |         39 |                           scipy.linalg.special_matrices
import time:        41 |         41 |                           scipy.linalg.matfuncs
import time:       457 |      14062 |                         scipy.linalg
import time:       281 |      14790 |                       scipy.sparse.linalg._isolve.iterative
import time:        70 |         70 |                       scipy.sparse.linalg._isolve.minres
import time:        68 |         68 |                         scipy.sparse.linalg._isolve._gcrotmk
import time:        62 |        130 |                       scipy.sparse.linalg._isolve.lgmres
import time:        61 |         61 |                       scipy.sparse.linalg._isolve.lsqr
import time:        56 |         56 |                       scipy.sparse.linalg._isolve.lsmr
import time:        48 |         48 |                       scipy.sparse.linalg._isolve.tfqmr
import time:       235 |      15387 |                     scipy.sparse.linalg._isolve
import time:       641 |        641 |                         scipy.sparse.linalg._dsolve._superlu
import time:        45 |         45 |                           scikits
import time:        13 |         57 |                         scikits.umfpack
import time:       157 |        854 |                       scipy.sparse.linalg._dsolve.linsolve
import time:        57 |         57 |                       scipy.sparse.linalg._dsolve._add_newdocs
import time:        83 |        993 |                     scipy.sparse.linalg._dsolve
import time:       306 |        306 |                             scipy._lib.decorator
import time:        80 |        386 |                           scipy._lib._threadsafety
import time:      1589 |       1589 |                           scipy.sparse.linalg._eigen.arpack._arpack
import time:       247 |       2220 |                         scipy.sparse.linalg._eigen.arpack.arpack
import time:       137 |       2357 |                       scipy.sparse.linalg._eigen.arpack
import time:       134 |        134 |                         scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:        75 |        208 |                       scipy.sparse.linalg._eigen.lobpcg
import time:      2887 |       2887 |                           scipy.sparse.linalg._propack
import time:      8017 |       8017 |                           scipy.sparse.linalg._propack._spropack
import time:      1403 |       1403 |                           scipy.sparse.linalg._propack._dpropack
import time:      1459 |       1459 |                           scipy.sparse.linalg._propack._cpropack
import time:      1305 |       1305 |                           scipy.sparse.linalg._propack._zpropack
import time:       241 |      15310 |                         scipy.sparse.linalg._svdp
import time:        97 |      15407 |                       scipy.sparse.linalg._eigen._svds
import time:       109 |      18080 |                     scipy.sparse.linalg._eigen
import time:       148 |        148 |                         scipy.sparse.linalg._onenormest
import time:       229 |        376 |                       scipy.sparse.linalg._expm_multiply
import time:       330 |        705 |                     scipy.sparse.linalg._matfuncs
import time:       131 |        131 |                     scipy.sparse.linalg._norm
import time:       239 |        239 |                     scipy.sparse.linalg._special_sparse_arrays
import time:        94 |         94 |                     scipy.sparse.linalg.isolve
import time:        87 |         87 |                     scipy.sparse.linalg.dsolve
import time:        84 |         84 |                     scipy.sparse.linalg.interface
import time:        85 |         85 |                     scipy.sparse.linalg.eigen
import time:        83 |         83 |                     scipy.sparse.linalg.matfuncs
import time:       317 |      36281 |                   scipy.sparse.linalg
import time:       261 |      36542 |                 scipy.sparse.csgraph._laplacian
import time:      1044 |       1044 |                     scipy.sparse.csgraph._tools
import time:       184 |       1228 |                   scipy.sparse.csgraph._validation
import time:      1635 |       2862 |                 scipy.sparse.csgraph._shortest_path
import time:       896 |        896 |                 scipy.sparse.csgraph._traversal
import time:       771 |        771 |                 scipy.sparse.csgraph._min_spanning_tree
import time:       797 |        797 |                 scipy.sparse.csgraph._flow
import time:       767 |        767 |                 scipy.sparse.csgraph._matching
import time:       789 |        789 |                 scipy.sparse.csgraph._reordering
import time:       273 |      43694 |               scipy.sparse.csgraph
import time:        74 |         74 |               scipy.sparse.base
import time:        52 |         52 |               scipy.sparse.bsr
import time:        47 |         47 |               scipy.sparse.compressed
import time:        77 |         77 |               scipy.sparse.construct
import time:        42 |         42 |               scipy.sparse.coo
import time:        40 |         40 |               scipy.sparse.csc
import time:        48 |         48 |               scipy.sparse.csr
import time:        42 |         42 |               scipy.sparse.data
import time:        38 |         38 |               scipy.sparse.dia
import time:        38 |         38 |               scipy.sparse.dok
import time:        38 |         38 |               scipy.sparse.extract
import time:        37 |         37 |               scipy.sparse.lil
import time:        42 |         42 |               scipy.sparse.sparsetools
import time:        40 |         40 |               scipy.sparse.sputils
import time:       751 |      59469 |             scipy.sparse
import time:       128 |        128 |                   scipy.special._sf_error
import time:       893 |        893 |                     scipy.special._ufuncs_cxx
import time:       883 |        883 |                     scipy.special._special_ufuncs
import time:      1209 |       2984 |                   scipy.special._ufuncs
import time:       104 |        104 |                   scipy.special._support_alternative_backends
import time:      1132 |       1132 |                     scipy.special._gufuncs
import time:      1638 |       1638 |                     scipy.special._specfun
import time:      1608 |       1608 |                     scipy.special._comb
import time:       245 |       4622 |                   scipy.special._basic
import time:       175 |        175 |                   scipy.special._logsumexp
import time:       318 |        318 |                   scipy.special._orthogonal
import time:       106 |        106 |                   scipy.special._spfun_stats
import time:      1668 |       1668 |                     scipy.special._ellip_harm_2
import time:       135 |       1803 |                   scipy.special._ellip_harm
import time:       146 |        146 |                   scipy.special._lambertw
import time:       108 |        108 |                   scipy.special._spherical_bessel
import time:        97 |         97 |                   scipy.special.add_newdocs
import time:       142 |        142 |                   scipy.special.basic
import time:       105 |        105 |                   scipy.special.orthogonal
import time:        83 |         83 |                   scipy.special.specfun
import time:        81 |         81 |                   scipy.special.sf_error
import time:        80 |         80 |                   scipy.special.spfun_stats
import time:       369 |      11443 |                 scipy.special
import time:       258 |        258 |                     scipy.stats._warnings_errors
import time:      2276 |       2276 |                           scipy.spatial._ckdtree
import time:       305 |       2580 |                         scipy.spatial._kdtree
import time:       950 |        950 |                           scipy._lib.messagestream
import time:      1901 |       2850 |                         scipy.spatial._qhull
import time:       928 |        928 |                           scipy.spatial._voronoi
import time:       123 |       1051 |                         scipy.spatial._spherical_voronoi
import time:       276 |        276 |                         scipy.spatial._plotutils
import time:        65 |         65 |                         scipy.spatial._procrustes
import time:       917 |        917 |                             scipy.spatial._distance_wrap
import time:       995 |        995 |                             scipy.spatial._hausdorff
import time:      1041 |       1041 |                             scipy.spatial._distance_pybind
import time:      1087 |       4039 |                           scipy.spatial.distance
import time:        77 |       4115 |                         scipy.spatial._geometric_slerp
import time:        60 |         60 |                         scipy.spatial.ckdtree
import time:        48 |         48 |                         scipy.spatial.kdtree
import time:        46 |         46 |                         scipy.spatial.qhull
import time:       147 |        147 |                             backports_abc
import time:      1398 |       1398 |                                 scipy.constants._codata
import time:       111 |        111 |                                 scipy.constants._constants
import time:        57 |         57 |                                 scipy.constants.codata
import time:        62 |         62 |                                 scipy.constants.constants
import time:       454 |       2080 |                               scipy.constants
import time:       175 |       2255 |                             scipy.spatial.transform._rotation_groups
import time:      2748 |       5149 |                           scipy.spatial.transform._rotation
import time:        86 |         86 |                           scipy.spatial.transform._rotation_spline
import time:        45 |         45 |                           scipy.spatial.transform.rotation
import time:        88 |       5366 |                         scipy.spatial.transform
import time:       271 |      16725 |                       scipy.spatial
import time:        68 |         68 |                             scipy.optimize._dcsrch
import time:       106 |        174 |                           scipy.optimize._linesearch
import time:      1003 |       1003 |                             scipy.optimize._group_columns
import time:       101 |       1104 |                           scipy.optimize._numdiff
import time:       113 |        113 |                             scipy.optimize._hessian_update_strategy
import time:       134 |        247 |                           scipy.optimize._differentiable_functions
import time:       417 |       1940 |                         scipy.optimize._optimize
import time:       106 |        106 |                             scipy.optimize._trustregion
import time:        70 |        175 |                           scipy.optimize._trustregion_dogleg
